centre_name,official_name,address,neighbourhood,curriculum,religious_orientation,language_medium,scale,fee_fullday_raw,verification_note,enrichment_date
Tadika Dzul Iman Smart Khalifah,Tadika Dzul Iman Smart Khalifah,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:22:54
Tadika Genius Ilmu Bestari Cawangan Saujana Utama 1,Tadika Genius Ilmu Bestari Cawangan Saujana Utama 1,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Medium,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:23:02
Tadika Pendidikan Anugerah,Tadika Pendidikan Anugerah,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:23:10
Koolkidz,Koolkidz,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:23:18
Tabika Kemas Ibnu Sina Saujana Utama Sungai Buloh,Tabika Kemas Ibnu Sina Saujana Utama Sungai Buloh,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] KEMAS,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Medium,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:23:25
Bir Ali Saujana Utama Kindergarten,Bir Ali Saujana Utama Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:23:33
Tunas Bestari,Tunas Bestari,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Medium,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:23:42
Cleverland Playschool,Cleverland Playschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:23:50
Islamic Preschool & Playschool Saujana Utama,Islamic Preschool & Playschool Saujana Utama,[Inferred Landmark] Operates in Other vicinity,Other,"[Inferred] Islamic Preschool & Playschool curriculum type not specified, but likely to be Islamic-based due to center name.",[Inferred] Strongly Islamic-oriented due to center name and 'Islamic' keyword in the name.,"[Inferred] Bahasa Malaysia as primary language medium, given the Malaysian context and lack of English or bilingual indicators.","[Inferred] Small to Medium-sized center, based on the 'Saujana Utama' zone which suggests a suburban or residential area with smaller centers.","[Inferred] RM 800 - RM 1,200 per month for full-day programs, considering the Saujana Utama zone and Islamic Preschool & Playschool center type.",No address provided,2026-04-02 14:23:57
Tadika Brainy Bunch Saujana Utama,Tadika Brainy Bunch Saujana Utama,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (assuming lower end of Saujana Utama zone),No address provided,2026-04-02 14:24:09
Little Smart Kids Daycare Centre,Little Smart Kids Daycare Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:24:17
Bir Ali Preschool,Bir Ali Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:24:25
Genius Aulad,Genius Aulad,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:24:32
Kampung Baru Kindergarten,Kampung Baru Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:24:40
Keedsflix Preschool Sunway Kayangan,Keedsflix Preschool Sunway Kayangan,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:24:46
Tadika Utama,Tadika Utama,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:24:54
Pusat Jagaan Kanak-Kanak,Pusat Jagaan Kanak-Kanak,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (assuming lower end of Kayangan Heights zone),No address provided,2026-04-02 14:25:01
Pusat Penjagaan Kanak-Kanak Dan Tadika,Pusat Penjagaan Kanak-Kanak Dan Tadika,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (assuming lower end of Kayangan Heights zone),No address provided,2026-04-02 14:25:10
Pusat Jagaan Kanak Kanak Tunas Minda,Pusat Jagaan Kanak Kanak Tunas Minda,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (assuming low to medium range fees for a small center in Kayangan Heights),No address provided,2026-04-02 14:25:19
Pusat Jagaan & Didikan Kanak-Kanak Bidadari,Pusat Jagaan & Didikan Kanak-Kanak Bidadari,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:25:28
Pusat Jagaan Mentari Comel,Pusat Jagaan Mentari Comel,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:25:36
Tadika Kayangan Heights,Tadika Kayangan Heights,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:25:47
Roots & Wings Montessori Preschool,Roots & Wings Montessori Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] English,[Inferred] Small,"[Inferred] RM 800 - RM 1,200 per month",No address provided,2026-04-02 14:25:54
Sri Kayangan Montessori,Sri Kayangan Montessori,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"[Inferred] RM 800 - RM 1,200",No address provided,2026-04-02 14:26:04
Tadika Putra Heights,Tadika Putra Heights,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:26:11
Roots And Wings Montessori Preschool,Roots And Wings Montessori Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] English,[Inferred] Small,"[Inferred] RM 800 - RM 1,200 per month",No address provided,2026-04-02 14:26:18
Small Wonder Preschool,Small Wonder Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:26:26
Tadika Toddler Town,Tadika Toddler Town,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:26:34
Tadika Si Cahaya Kota Kemuning- Sunshine Kids Playhouse,Tadika Si Cahaya Kota Kemuning- Sunshine Kids Playhouse,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:26:42
Tadika Cahaya Bestari,Tadika Cahaya Bestari,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:26:49
Tadika Cahaya Khalifah,Tadika Cahaya Khalifah,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:26:59
Tadika Cahaya Sdn Bhd,Tadika Cahaya Sdn Bhd,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:27:10
Tadika Seri Cahaya,Tadika Seri Cahaya,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:27:19
Real Kids Plus,Real Kids Plus,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:27:29
Tadika Cahaya SPK,Tadika Cahaya SPK,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 300 per month,No address provided,2026-04-02 14:27:37
Tadika Smart Reader Kids,Tadika Smart Reader Kids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:27:47
Tadika Cahaya,Tadika Cahaya,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:27:55
Brilliant Buds Edukids Alam Suria,Brilliant Buds Edukids Alam Suria,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:28:03
Tadika Cahaya SPK U9,Tadika Cahaya SPK U9,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:28:11
Tadika Cahaya SPK,Tadika Cahaya SPK,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:28:19
Tadika,Tadika,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:28:27
Tadika Alam Cahaya,Tadika Alam Cahaya,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:28:34
Tadika Si Cahaya Sunshine Kids Playhouse Preschool,Tadika Si Cahaya Sunshine Kids Playhouse Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:28:45
Tadika Ilmuwan Kecil,Tadika Ilmuwan Kecil,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:28:54
Redboot Preschool,Redboot Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:29:03
Tadika Anak Seri Cahaya,Tadika Anak Seri Cahaya,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:29:11
Tadika Mummy Child Care Centre,Tadika Mummy Child Care Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:29:20
Taska & Tadika Pac,Taska & Tadika Pac,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 300 per month,No address provided,2026-04-02 14:29:27
Tadika Eng Ann,Tadika Eng Ann,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:29:36
Greenview Islamic International Preschool,Greenview Islamic International Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:29:44
Pusat Jagaan Cik Iris,Pusat Jagaan Cik Iris,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:29:53
Tadika Little Bunny,Tadika Little Bunny,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:30:01
Real Kids Sdn Bhd,Real Kids Sdn Bhd,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:30:09
Achievers Platform,Achievers Platform,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:30:17
Tadika Literasi Junior Islamic-English Play-Based Learning,Tadika Literasi Junior Islamic-English Play-Based Learning,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic-based curriculum (Play-Based Learning),[Inferred] Strongly Islamic orientation,[Inferred] English,[Inferred] Small to Medium,"RM 800 - RM 1,200 [Inferred] (Zone U8 Shah Alam, Play-Based Learning center)",No address provided,2026-04-02 14:30:25
R.E.A.L Kids,R.E.A.L Kids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:30:34
Taska Fantasia Alam Nature Playschool,Taska Fantasia Alam Nature Playschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:30:41
Tadika Dian Alam Impian,Tadika Dian Alam Impian,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:30:49
The Core Learning Centre,The Core Learning Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:30:56
"Little Caliphs Playschool Taska  8,","Little Caliphs Playschool Taska  8,",[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:31:04
The City Kindergarten,The City Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:31:12
City Kindergarten,City Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:31:22
Small Wonder Setia,Small Wonder Setia,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (Setia Eco Park zone suggests a moderate fee range),No address provided,2026-04-02 14:31:32
Taska & Tadika Setia Mu,Taska & Tadika Setia Mu,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:31:40
Tadika Montessori Pintar - Little Lamb,Tadika Montessori Pintar - Little Lamb,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred] (Setia Eco Park zone suggests a moderate to high-end fee range)",No address provided,2026-04-02 14:31:51
Big Apple Eduworld,Big Apple Eduworld,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Medium,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:32:02
Tenby Schools Setia,Tenby Schools Setia,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 1,500 - RM 2,000 [Inferred]",No address provided,2026-04-02 14:32:15
Tadika Setia,Tadika Setia,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500-RM 800 [Inferred] per month (based on Setia Eco Park zone),No address provided,2026-04-02 14:32:24
Treehouse Playschool & Kindergarten,Treehouse Playschool & Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:32:34
Knowledge Tree Montessori Kindergarten,Knowledge Tree Montessori Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] English,[Inferred] Small,"[Inferred] RM 800 - RM 1,200 per month",No address provided,2026-04-02 14:32:43
Rauf International Preschool,Rauf International Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:32:52
Knowledge Tree Montessori Preschool,Knowledge Tree Montessori Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] English,[Inferred] Small,"[Inferred] RM 800 - RM 1,200 per month",No address provided,2026-04-02 14:33:01
Wynkids Preschool,Wynkids Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:33:16
Tadika Masa Kita,Tadika Masa Kita,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:33:23
Tadika Choo Choo,Tadika Choo Choo,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (Setia Avenue is known for having smaller ECE centers),No address provided,2026-04-02 14:33:30
Avenue Kids Club,Avenue Kids Club,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:33:38
Tadika Choo Choo Train,Tadika Choo Choo Train,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500-RM 800 [Inferred] per month (Setia Avenue zone suggests moderate fees),No address provided,2026-04-02 14:33:46
Tadika Ake,Tadika Ake,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:33:54
Choo Choo Train Child Care & Kindergarten,Choo Choo Train Child Care & Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:34:01
Tadika Mentari Ceria,Tadika Mentari Ceria,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:34:11
Mindchamps Preschool,Mindchamps Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:34:19
Tadika Junior Kanggaru,Tadika Junior Kanggaru,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:34:28
Tadika Genius Kids' Land,Tadika Genius Kids' Land,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:34:36
Choo Choo Train Arts-Enhanced Kindergarten,Choo Choo Train Arts-Enhanced Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:34:52
